,Unnamed: 0,County,total_popE,total_popM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,med_incE,med_incM,hispanicE,hispanicM,poverty_incomeE,poverty_incomeM,poverty_totalE,poverty_totalM,number_of_schools,schools_per_capita,schools_per_10000,considered_low_income,poverty_rate,State
969,9191,Judith Basin County,2039,,1894,82,0,11,34,41,0,11,0,11,91,76,20,15,58750,12296,113,82.0,357,121,2039,11,1,0.0004904364884747,4.904364884747426,53072.8,17.508582638548308,Montana
970,9192,Cascade County,84423,,72122,539,1246,201,3100,386,799,154,27,31,1549,456,5580,580,61351,2847,4261,,11172,1064,82121,190,6,7.107067979105221e-05,0.710706797910522,53072.8,13.604315583102984,Montana
971,9194,Rosebud County,8310,,4463,165,10,14,3176,100,49,46,1,3,130,84,481,188,57656,8074,443,,1670,405,8197,58,2,0.0002406738868832,2.4067388688327314,53072.8,20.373307307551546,Montana
972,9196,Glacier County,13781,,4237,175,23,28,8841,180,80,11,27,45,177,130,396,165,41078,4052,492,,3986,617,13569,96,2,0.0001451273492489,1.4512734924896598,53072.8,29.37578303485887,Montana
973,9199,Hill County,16238,,11286,170,57,49,3856,213,41,97,6,8,98,76,894,216,58427,4653,649,,2679,507,15832,55,1,6.15839389087326e-05,0.615839389087326,53072.8,16.921424962102073,Montana
974,9201,Daniels County,1535,166.0,1389,155,5,8,37,23,28,13,0,11,4,5,72,52,47378,13835,22,30.0,183,88,1501,164,1,0.0006514657980456,6.514657980456026,53072.8,12.191872085276485,Montana
975,9205,Wheatland County,2060,,1946,49,49,15,38,45,8,12,0,11,0,11,19,17,48272,10149,44,51.0,460,202,2029,8,1,0.0004854368932038,4.854368932038835,53072.8,22.67126663380976,Montana
976,9207,Yellowstone County,165524,,144877,1228,1378,491,6388,622,1274,240,237,249,2575,1010,8795,849,72300,2616,10268,,17356,1469,162023,313,6,3.624851985210604e-05,0.3624851985210604,53072.8,10.71205939897422,Montana
977,9209,Flathead County,105950,,97452,498,334,124,1138,279,871,108,0,26,1012,352,5143,535,68025,2865,3471,,9727,1204,104920,130,8,7.550731477111845e-05,0.7550731477111845,53072.8,9.270873046130385,Montana
978,9213,Fergus County,11496,,10731,53,55,54,153,95,175,116,0,17,152,101,230,111,58321,5482,236,,1651,373,11182,72,2,0.0001739735560194,1.7397355601948503,53072.8,14.764800572348417,Montana
979,9214,Custer County,11957,,10934,137,28,32,146,88,46,42,17,17,124,80,662,134,61114,7151,430,,1281,293,11533,41,1,8.363301831563101e-05,0.8363301831563101,53072.8,11.107257435185987,Montana
980,9224,St. Louis city,298018,,137897,785,130753,938,616,179,10433,338,203,64,4077,685,14039,1246,52941,1545,12834,,58373,3125,289284,438,1,3.355502016656712e-06,0.0335550201665671,53072.8,20.1784405635984,Montana
981,9226,Blaine County,384,57.0,384,57,0,10,0,10,0,10,0,10,0,10,0,10,52083,8876,0,10.0,44,25,384,57,2,0.0052083333333333,52.08333333333333,53072.8,11.458333333333332,Montana
982,9228,Lincoln County,5203,,4058,167,25,26,129,80,20,13,0,18,348,120,623,162,62250,4106,1655,,602,189,5124,12,3,0.0005765904285988,5.765904285988853,53072.8,11.74863387978142,Montana
983,9231,Park County,17597,,16144,174,91,58,163,101,104,113,0,20,221,112,874,216,85019,6450,1173,,1185,377,17422,73,2,0.0001136557367733,1.1365573677331364,53072.8,6.8017449202158184,Montana
984,9243,Sanders County,12615,,11427,91,39,38,396,72,23,22,16,15,39,30,675,135,47110,4919,429,,2027,345,12410,80,2,0.0001585414189456,1.5854141894569955,53072.8,16.333601933924253,Montana
985,9245,Dawson County,24037,,16408,706,1689,267,169,116,192,56,99,112,3551,775,1929,436,67462,4763,8240,,3378,700,23748,62,1,4.160252943378957e-05,0.4160252943378957,53072.8,14.224355735219806,Montana
986,9249,Valley County,4053,79.0,3976,78,7,12,29,24,11,14,0,10,10,13,20,17,62321,8616,84,34.0,353,105,3989,82,1,0.000246730816679,2.467308166790032,53072.8,8.849335673101027,Montana
