,PCNTNM,NAME,PPHONE,PCNTY,PCNTY22,P_INDIAN,P_ASIAN,P_PACIFIC,P_HISP,P_WHITE,P_BLACK,P_TR,STTCH_RT,State,ZIP,RELIG,ORIENT
18383,SEVIER,SORENSON`S RANCH SCHOOL,4356387318.0,41,4149,1.5384615385,0.0,0.0,20.0,64.615384615,13.846153846,0.0,9.2857142857,UT,84744,3,30
18384,SALT LAKE,ST FRANCIS XAVIER CATHOLIC SCHOOL,8019661571.0,35,3549,1.0989010989,3.8461538462,3.2967032967,63.736263736,18.131868132,8.7912087912,1.0989010989,16.396396396,UT,84118,1,1
18385,CAMPBELL,BETHEL MENNONITE SCHOOL,4342832202.0,31,3151,0.0,0.0,0.0,23.80952381,76.19047619,0.0,0.0,6.1764705882,VA,24554,2,24
18386,FLOYD,BLUE MOUNTAIN SCHOOL,5407454234.0,63,6351,3.3333333333,1.6666666667,0.0,1.6666666667,91.666666667,1.6666666667,0.0,9.5238095238,VA,24091,3,30
18387,CAROLINE,THE CARMEL SCHOOL,8044483288.0,33,3351,0.0,0.0,0.0,4.1095890411,78.082191781,15.98173516,1.8264840183,5.1048951049,VA,22546,2,8
18388,ARLINGTON,CHESTERBROOK MONTESSORI SCHOOL,7032433914.0,13,1351,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,VA,22203,3,30
18389,NEWPORT NEWS,DENBIGH CHRISTIAN ACADEMY,7578748661.0,700,70051,0.0,5.2631578947,0.0,10.526315789,10.526315789,73.684210526,0.0,9.5,VA,23608,2,10
18390,ROCKINGHAM,EDGEWOOD SCHOOL,5408793112.0,165,16551,0.0,0.0,0.0,0.0,100.0,0.0,0.0,21.5,VA,22821,2,24
18391,ALBEMARLE,FREE UNION COUNTRY SCHOOL,4349781700.0,3,351,0.0,8.1967213115,0.0,3.2786885246,88.524590164,0.0,0.0,6.2244897959,VA,22940,3,30
18392,CHESAPEAKE,GREAT BRIDGE PRESBYTERIAN PRESCHOOL,7575494303.0,550,55051,0.0,8.5714285714,0.0,0.0,88.571428571,2.8571428571,0.0,15.217391304,VA,23322,2,27
